# loss loss_val
7.8256 7.8296
7.8303 7.8290
7.8217 7.8234
7.8276 7.8261
7.8298 7.8175
7.8225 7.8222
7.8134 7.8182
7.8104 7.8152
7.8152 7.8228
7.8115 7.8113
7.8161 7.8124
7.8119 7.8107
7.8080 7.8072
7.8036 7.8056
7.8041 7.8043
7.8044 7.8091
7.7983 7.8006
7.8002 7.8019
7.7927 7.7978
7.7929 7.8001
7.7907 7.7921
7.7967 7.7984
7.7864 7.7871
7.7881 7.7830
7.7822 7.7870
7.7828 7.7857
7.7839 7.7847
7.7819 7.7744
7.7820 7.7787
7.7855 7.7749
7.7747 7.7773
7.7721 7.7690
7.7636 7.7637
7.7669 7.7643
7.7687 7.7611
7.7622 7.7562
7.7567 7.7623
7.7560 7.7575
7.7535 7.7560
7.7428 7.7515
7.7473 7.7419
7.7402 7.7386
7.7374 7.7489
7.7315 7.7356
7.7313 7.7294
7.7252 7.7308
7.7195 7.7256
7.7170 7.7216
7.7158 7.7203
7.7151 7.7087
7.7082 7.7098
7.7108 7.7076
7.7050 7.6972
7.7071 7.6978
7.6885 7.6873
7.7015 7.6848
7.6817 7.6878
7.6808 7.6796
7.6705 7.6747
7.6741 7.6729
7.6716 7.6582
7.6606 7.6600
7.6649 7.6548
7.6496 7.6505
7.6424 7.6441
7.6430 7.6487
7.6243 7.6358
7.6411 7.6417
7.6208 7.6404
7.6180 7.6282
7.6081 7.6120
7.5976 7.6056
7.5972 7.6045
7.5982 7.5983
7.5900 7.5972
7.5813 7.5929
7.5664 7.5801
7.5692 7.5785
7.5623 7.5564
7.5565 7.5593
7.5606 7.5423
7.5382 7.5328
7.5321 7.5377
7.5299 7.5212
7.5251 7.5069
7.5192 7.5207
7.5047 7.5063
7.4945 7.4851
7.4920 7.4945
7.4901 7.4966
7.4666 7.4809
7.4510 7.4771
7.4452 7.4479
7.4481 7.4724
7.4409 7.4529
7.4198 7.4302
7.4265 7.4233
7.4375 7.4146
7.4024 7.4151
7.3973 7.4056
7.3977 7.3983
7.3793 7.3829
7.3769 7.3750
7.3548 7.3695
7.3570 7.3746
7.3447 7.3585
7.3321 7.3370
7.3403 7.3238
7.3347 7.3325
7.3270 7.2968
7.3127 7.2997
7.2977 7.2921
7.2814 7.3060
7.2742 7.2705
7.2723 7.2399
7.2558 7.2313
7.2155 7.2443
7.2314 7.2416
7.2021 7.2371
7.1953 7.2162
7.1921 7.2156
7.1965 7.2064
7.2006 7.1798
7.1680 7.1811
7.1421 7.1591
7.1514 7.1503
7.1624 7.1437
7.1459 7.1175
7.1161 7.1044
7.1071 7.1124
7.0979 7.1083
7.1060 7.0790
7.1150 7.0851
7.0418 7.0727
7.0571 7.0490
7.0330 7.0506
7.0685 7.0203
7.0191 7.0253
7.0089 7.0289
6.9924 7.0238
7.0278 6.9798
6.9713 6.9910
6.9651 6.9790
6.9583 6.9622
6.9156 6.9536
6.9405 6.9569
6.9526 6.9298
6.9568 6.9266
6.9038 6.9189
6.8936 6.8886
6.8864 6.8877
6.8910 6.9023
6.8895 6.8918
6.8869 6.8920
6.8917 6.8611
6.8578 6.8229
6.8230 6.8408
6.8072 6.8318
6.8214 6.8004
6.8011 6.7988
6.8072 6.7874
6.7398 6.7428
6.7828 6.8028
6.7667 6.8245
6.7935 6.7573
6.7343 6.7528
6.8194 6.7450
6.7568 6.7409
6.7187 6.7499
6.7280 6.7200
6.7455 6.7265
6.7477 6.7188
6.6953 6.7281
6.6911 6.7194
6.6992 6.7168
6.7104 6.7101
6.6151 6.7061
6.6619 6.6764
6.6666 6.6535
6.6498 6.6519
6.6471 6.6691
6.6511 6.6446
6.5914 6.6503
6.6130 6.6623
6.6110 6.6354
6.6217 6.6242
6.6257 6.5981
6.6056 6.6139
6.5856 6.6063
6.5916 6.6109
6.6056 6.5705
6.5900 6.5724
6.5762 6.5143
6.5721 6.6192
6.5961 6.5950
6.5015 6.5636
6.5474 6.5275
6.6199 6.5732
6.5666 6.5038
6.5781 6.5342
6.5148 6.5436
6.5601 6.5136
6.5317 6.5482
6.4768 6.5356
6.5536 6.5510
6.4930 6.5668
6.5112 6.5371
6.5229 6.4916
6.5186 6.5659
6.4559 6.5064
6.4989 6.5161
6.4665 6.5491
6.4739 6.4720
6.5142 6.5320
6.5050 6.5099
6.4402 6.5318
6.4802 6.5046
6.4707 6.4555
6.4770 6.4862
6.4699 6.4754
6.4600 6.4357
6.4435 6.4488
6.4471 6.4631
6.4387 6.5085
6.4190 6.4838
6.4170 6.4835
6.5214 6.4327
6.4968 6.4325
6.4648 6.5046
6.4446 6.4398
6.4649 6.4526
6.4275 6.4315
6.4500 6.4878
6.4344 6.4617
6.4040 6.4818
6.4171 6.4859
6.4193 6.4085
6.4945 6.4090
6.4166 6.3902
6.4167 6.4285
6.3848 6.4655
6.4158 6.4039
6.4187 6.4723
6.4239 6.3860
6.4277 6.3505
6.4484 6.4276
6.4576 6.4460
6.3913 6.4108
6.3540 6.4123
6.4647 6.4799
6.3430 6.4234
6.3919 6.4200
6.4345 6.4500
6.4446 6.4771
6.4133 6.3684
6.3261 6.4328
6.4609 6.3963
6.4213 6.3687
6.4030 6.3647
6.3769 6.4138
6.4520 6.4045
6.3741 6.3696
6.4472 6.4043
6.3913 6.3286
6.3661 6.4044
6.4617 6.4238
6.4232 6.4154
6.3755 6.3759
6.4503 6.4769
6.3949 6.4218
6.3793 6.3899
6.4254 6.3527
6.4192 6.3939
6.2490 6.4170
6.3933 6.4035
6.3538 6.4021
6.3403 6.4432
6.4236 6.3419
6.3258 6.3904
6.3716 6.3766
6.4073 6.3946
6.3448 6.3543
6.3585 6.3885
6.3827 6.4124
6.3812 6.4547
6.3877 6.3841
6.3825 6.3141
6.3854 6.4397
6.3869 6.4212
6.3709 6.4556
6.3905 6.3772
6.4078 6.3932
6.4059 6.4076
6.3847 6.4299
6.3467 6.4577
6.3912 6.3217
6.4264 6.4050
6.4492 6.4187
6.3657 6.4259
6.4065 6.3876
6.3267 6.3564
6.3395 6.3728
6.3904 6.3496
6.3618 6.3711
6.3210 6.3750
6.3848 6.3559
6.4005 6.3908
6.3190 6.4870
6.4198 6.3550
6.4711 6.4168
6.3924 6.4100
6.3480 6.4315
6.3797 6.3929
6.3279 6.3621
6.4092 6.3969
6.3875 6.3756
6.3368 6.3794
6.4266 6.3400
6.3545 6.3792
6.3677 6.3402
6.3540 6.3466
6.3955 6.4254
6.3233 6.3758
6.4620 6.3473
6.3487 6.4041
6.4426 6.3527
6.3949 6.3266
6.4030 6.3676
6.3528 6.3342
6.3729 6.3657
6.4210 6.3356
6.3978 6.4043
6.4159 6.3661
6.2971 6.3395
6.3962 6.4002
6.3482 6.4171
6.3535 6.4077
6.3432 6.3258
6.3681 6.3623
6.3997 6.3834
6.3336 6.3426
6.3462 6.4340
6.4074 6.3432
6.3796 6.3795
6.4019 6.3582
6.3965 6.3595
6.3193 6.3760
6.3207 6.3776
6.3626 6.4141
6.3649 6.3174
6.2994 6.3534
6.3970 6.3790
6.3977 6.3197
6.3540 6.4241
6.3485 6.3595
6.3564 6.3610
6.3759 6.2953
6.3909 6.3798
6.3507 6.2825
6.4185 6.3520
6.3637 6.4279
6.3300 6.3617
6.4304 6.3906
6.3162 6.3852
6.3787 6.3650
6.3103 6.3960
6.3825 6.3950
6.3640 6.3331
6.3470 6.3767
6.3452 6.4110
6.3085 6.3828
6.3827 6.4484
6.3434 6.3789
6.3461 6.4178
6.2988 6.3100
6.3764 6.3267
6.3291 6.3932
6.4221 6.3842
6.3517 6.3632
6.2358 6.3185
6.3713 6.3437
6.2894 6.3768
6.3202 6.3387
6.4101 6.3672
6.3250 6.3309
6.2799 6.3592
6.3742 6.4013
6.3209 6.3510
6.2977 6.4034
6.3301 6.3408
6.3176 6.3075
