# loss loss_val
4.8949 3.3527
3.1798 3.1455
3.1441 3.2337
3.1275 3.0345
2.9709 3.0134
2.9975 3.0390
2.9391 3.0446
2.9358 2.9091
2.8948 3.0536
2.8388 2.8080
2.8854 2.7742
2.7446 2.8712
2.7768 2.8525
2.9288 2.8535
2.7968 2.8622
2.8880 3.0937
2.8678 2.9014
2.8928 2.7820
2.9227 2.7615
2.8750 2.8825
2.8337 2.7890
2.7081 2.8019
2.8435 2.8129
2.7944 2.7947
2.8601 2.9254
2.8534 2.8141
2.8241 2.8203
2.7304 2.9524
2.7928 2.7800
2.7741 2.7928
2.8611 2.6521
2.8973 2.7300
2.8322 2.7911
2.7373 2.7209
2.6733 2.7398
2.7499 2.7355
2.7267 2.8447
2.7765 2.8674
2.7596 2.8775
2.8449 2.7817
2.6895 2.7044
2.6552 2.7660
2.7384 2.6704
2.6155 2.7318
2.7852 2.7870
2.7132 2.8376
2.6932 2.6641
2.6461 2.7174
2.7274 2.7936
2.6306 2.7788
2.6559 2.7117
2.6481 2.7654
2.7043 2.7211
2.6879 2.7624
2.6257 2.7795
2.7923 2.8214
2.7284 2.6688
2.7595 2.7387
2.6291 2.7070
2.6721 2.7631
2.6980 2.6460
2.6876 2.7297
2.6384 2.7681
2.6431 2.7072
2.7055 2.5693
2.6439 2.7844
2.6329 2.6517
2.5896 2.6595
2.6815 2.7849
2.7740 2.6281
2.7756 2.6478
2.6518 2.8328
2.7107 2.6608
2.7613 2.7295
2.6736 2.7088
2.7178 2.6423
2.6055 2.6427
2.6895 2.5685
2.6877 2.6540
2.7226 2.8011
2.6505 2.5858
2.6337 2.6817
2.7341 2.7201
2.5942 2.6140
2.7128 2.7677
2.6068 2.7377
2.6957 2.5730
2.7241 2.6495
2.6394 2.6947
2.6310 2.6161
2.6252 2.7008
2.6250 2.6752
2.6222 2.5554
2.7645 2.6563
2.5983 2.5585
2.6253 2.5106
2.5319 2.6147
2.6431 2.7669
2.7359 2.5321
2.4627 2.6445
2.5651 2.6503
2.5540 2.6369
2.5947 2.5017
2.6194 2.5103
2.5200 2.5487
2.6368 2.5747
2.4202 2.5374
2.5743 2.5851
2.4819 2.5146
2.4607 2.5152
2.3916 2.5950
